AOU_code,Common_name,Order,Family,Genus,species,Sequence,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
GRSP,Grasshopper Sparrow,Passeriformes,Passerellidae,Ammodramus,savannarum,10321,Passerellidae,Passeriformes,AVIBASE-5BFFE091,6,3,3,0,5,13.8,8.2,4.5,6.1,20.1,58.2,12.3,46,21.1,41.4,17.6,Dunning,,NO,,,Grassland,3,2,Omnivore,Invertivore,Generalist,3.31,51.58,40.3,-94.6,5240933.14
GTGR,Great-tailed Grackle,Passeriformes,Icteridae,Quiscalus,mexicanus,10540,Icteridae,Passeriformes,AVIBASE-5CBA3391,18,8,10,0,4,43.3,29.2,8.2,11.5,47.9,168.6,46,126.4,26.8,170.1,160.5,Dunning,,NO,,,Human Modified,3,1,Omnivore,Omnivore,Terrestrial,-3.64,43.84,29.28,-101.43,5121812.21
HAWO,Hairy Woodpecker ,Piciformes,Picidae,Dryobates,villosus,3975,Picidae,Piciformes,AVIBASE-9D06AF89,11,5,5,1,4,31.6,24.1,8.2,8.1,23.1,126.7,32.4,95.5,25.3,81.7,62.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,8.48,68.73,47.81,-105.59,13332874.44
HESP,Henslow's Sparrow ,Passeriformes,Passerellidae,Centronyx,henslowii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLA,Horned Lark ,Passeriformes,Alaudidae,Eremophila,alpestris,7331,Alaudidae,Passeriformes,AVIBASE-FC0A1D95,14,6,8,0,4,13.9,9.2,4.2,5,23.5,108.1,41.7,66.2,38.6,71.4,33.3,Dunning,,NO,,,Grassland,3,3,Omnivore,Omnivore,Terrestrial,4.06,77.73,53.86,4.61,35118904.89
HOWR,House Wren ,Passeriformes,Troglodytidae,Troglodytes,aedon,8598,Troglodytidae,Passeriformes,AVIBASE-7B6E99A9,104,12,20,72,26,15.9,9.8,3,3.1,20.1,51.4,6.7,44.9,12.9,41.1,10.9,Dunning,,NO,,,Shrubland,3,1,Carnivore,Invertivore,Insessorial,-55.72,59.66,4.96,-75.18,25653883.47
INBU,Indigo Bunting ,Passeriformes,Cardinalidae,Passerina,cyanea,10711,Cardinalidae,Passeriformes,AVIBASE-043F337A,31,15,16,0,15,11.7,7.6,5.1,6.2,17.2,64.8,14.7,50.3,22.5,48.9,14.7,Dunning,,NO,,,Shrubland,2,3,Herbivore,Granivore,Terrestrial,24.53,52.55,39.21,-91.56,5700834.65
KEWA,Kentucky Warbler ,Passeriformes,Parulidae,Geothlypis,formosa,10588,Parulidae,Passeriformes,AVIBASE-8C105C3C,19,4,13,2,4,13.8,8.7,3.5,3.7,22.8,66.9,16.6,50,24.9,48.1,14,Dunning,,NO,,,Forest,1,3,Carnivore,Invertivore,Generalist,29.58,44.47,36.24,-86.53,1970256.38
KILL,Killdeer,Charadriiformes,Charadriidae,Charadrius,vociferus,2373,Charadriidae,Charadriiformes,AVIBASE-BCF9A19A,4,2,2,0,4,21.5,13.1,3.5,4.2,34.4,158.8,83.5,75.2,52.6,85.8,96.4,Dunning,,NO,,,Wetland,3,3,Carnivore,Omnivore,Terrestrial,-18.69,68.94,44.7,-102.9,14759088.1
LALO,Lapland Longspur ,Passeriformes,Calcariidae,Calcarius,lapponicus,10246,Calcariidae,Passeriformes,AVIBASE-3534E4CE,7,1,6,0,4,12.3,8.9,5.8,6.8,21.1,94.9,29,65.7,30.7,67.8,27.8,Dunning,,NO,,,Grassland,3,3,Herbivore,Granivore,Terrestrial,50.82,83.11,68.82,-6.27,8536158.76
LASP,Lark Sparrow ,Passeriformes,Passerellidae,Chondestes,grammacus,10305,Passerellidae,Passeriformes,AVIBASE-78509A5D,5,2,3,0,4,15.1,9.7,5.1,7.1,20.1,85.5,24.7,60.9,28.8,64.3,29,Dunning,,NO,,,Shrubland,3,2,Herbivore,Granivore,Generalist,20.37,52.1,38.78,-103.76,5604939.24
LOSH,Loggerhead Shrike,Passeriformes,Laniidae,Lanius,ludovicianus,6902,Laniidae,Passeriformes,AVIBASE-36171C2B,11,2,9,0,4,21.1,12.3,6.5,8.8,27.7,96.4,21.7,74.2,22.6,96.7,51.6,Dunning,,NO,,,Shrubland,3,3,Carnivore,Invertivore,Insessorial,16.1,55.52,38.03,-101.11,8852504.29
MODO,Mourning Dove ,Columbiformes,Columbidae,Zenaida,macroura,717,Columbidae,Columbiformes,AVIBASE-00124D98,15,5,7,3,6,19.6,9.3,2.7,3.4,19.6,144.4,53.1,91.6,36.6,122.2,118.9,Dunning,,NO,,,Human Modified,3,1,Herbivore,Granivore,Terrestrial,7.45,56.32,39.64,-99.32,11131808.01
NOBO,Northern Bobwhite,Galliformes,Odontophoridae,Colinus,virginianus,153,Odontophoridae,Galliformes,AVIBASE-91CCBC71,4,2,2,0,4,14.9,8.6,7,8.4,29.6,109.8,30.3,79.4,27.6,56.8,171.9,Dunning,,NO,,,Human Modified,2,1,Herbivore,Omnivore,Terrestrial,14.51,45.69,34.48,-91.61,4364464.18
NOCA,Northern Cardinal,Passeriformes,Cardinalidae,Cardinalis,cardinalis,10744,Cardinalidae,Passeriformes,AVIBASE-4E74AE22,64,24,40,0,8,17.6,14.7,9.3,12.3,24.5,93.5,14.2,77.7,15.5,101.8,42.6,Dunning,,NO,,,Shrubland,2,1,Herbivore,Omnivore,Insessorial,15.65,47.34,34.85,-92.41,5834572.06
NOFL,Northern Flicker,Piciformes,Picidae,Colaptes,auratus,3870,Picidae,Piciformes,AVIBASE-2B7F2525,14,7,7,0,10,38.4,27.6,8.2,7.9,28.4,151.8,37.5,114.3,24.8,105.3,131.5,Dunning,,NO,,,Shrubland,2,2,Carnivore,Invertivore,Generalist,19.26,68.71,50.48,-99.78,10804791.76
NOHA,Northern Harrier,Accipitriformes,Accipitridae,Circus,hudsonius,3079,Accipitridae,Accipitriformes,AVIBASE-A091D50A,4,2,2,0,4,31.1,17.2,10.1,13.2,82,360.9,161.1,199.8,44.6,212.9,393,DataFromSplit,,NO,,,Grassland,3,3,Carnivore,Vertivore,Aerial,30.02,69.8,52.86,-111.67,12347245.55
NRWS,Northern Rough-winged Swallow,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis,7753,Hirundinidae,Passeriformes,AVIBASE-B90C04E9,21,9,8,4,5,10.5,4.8,3.4,2.5,11,107.5,55.1,53.6,50.7,47.8,15.7,Dunning,,NO,,,Shrubland,3,3,Carnivore,Invertivore,Aerial,9.87,56.43,39.57,-100.58,9837317.43
NSHR,Northern Shrike,Passeriformes,Laniidae,Lanius,borealis,6905,Laniidae,Passeriformes,AVIBASE-76158864,0,0,0,0,0,23.2,13.9,6.9,9.3,29.4,109.2,28.7,80.4,26.3,106.2,63.4,DataFromSplit,,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Lanius excubitor,Shrubland,3,3,Carnivore,Vertivore,Insessorial,42.5,70.01,60.4,41.46,11997297.51
OROR,Orchard Oriole,Passeriformes,Passeriformes,Icterus,spurius,10505,Icteridae,Passeriformes,AVIBASE-E2014696,16,7,9,0,4,17.2,11.6,4.4,5.3,21.5,77,20.9,56.6,26.9,67,19.4,Dunning,,NO,,,Forest,2,3,Carnivore,Invertivore,Insessorial,19,50.57,36.74,-92.53,4790205.22
PISI,Pine Siskin,Passeriformes,Fringillidae,Spinus,pinus,10228,Fringillidae,Passeriformes,AVIBASE-B48335B1,5,2,3,0,4,14,9,4.3,5.5,13.9,72.4,25.6,47,35.2,48.3,12.7,Dunning,,NO,,,Forest,1,1,Herbivore,Granivore,Insessorial,14.9,65.72,49.57,-108.01,7806130.28
RBWO,Red-bellied Woodpecker ,Piciformes,Picidae,Melanerpes,carolinus,3937,Picidae,Piciformes,AVIBASE-078557F2,10,4,6,0,5,32.6,21.6,7.1,7.6,21.1,127.2,35.5,90.4,28.2,76.8,69.5,Dunning,,NO,,,Woodland,1,1,Omnivore,Omnivore,Insessorial,24.53,46.9,36.96,-88,3074161.82
RHWO,Red-headed Woodpecker ,Piciformes,Picidae,Melanerpes,erythrocephalus,3920,Picidae,Piciformes,AVIBASE-448D91B7,6,2,3,1,4,27.3,20.3,7.6,7.4,20.6,139.7,40.6,98.9,29.1,83.3,71.6,Dunning,,NO,,,Forest,1,1,Carnivore,Invertivore,Insessorial,25.64,51.7,40.26,-93.26,5461683.2
RLHA,Rough-legged Hawk,Accipitriformes,Accipitridae,Buteo,lagopus,3198,Accipitridae,Accipitriformes,AVIBASE-90B13ACF,7,3,4,0,4,34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,Dunning,,NO,,,Grassland,3,3,Carnivore,Vertivore,Insessorial,47.6,83.11,67.33,2.14,9709846.76
RNEP,Ring-necked Pheasant,Galliformes,Phasianidae,Phasianus,colchicus,329,Phasianidae,Galliformes,AVIBASE-2FA39DCD,9,3,6,0,4,35.4,22,12.9,11.4,63.3,237.7,61.3,175.8,25.8,449.8,1120.3,Dunning,,NO,,,Human Modified,2,1,Herbivore,Omnivore,Terrestrial,20.23,53.22,38.76,101.53,7426719.32
RTHA,Red-tailed Hawk,Accipitriformes,Accipitridae,Buteo,jamaicensis,3196,Accipitridae,Accipitriformes,AVIBASE-536A5157,5,2,3,0,4,37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,Dunning,,NO,,,Woodland,2,3,Carnivore,Vertivore,Insessorial,8.36,68.66,45.5,-105.33,15462822.34
RWBL,Red-winged Blackbird,Passeriformes,Icteridae,Agelaius,phoeniceus,10522,Icteridae,Passeriformes,AVIBASE-C86D078E,7,2,5,0,6,22.7,15.4,5.6,8.8,28,118,27.8,88.9,24,88.9,50.8,Dunning,,NO,,,Wetland,3,3,Herbivore,Granivore,Generalist,9.66,67.41,44.62,-102.04,13703226.95
SEOW,Short-eared Owl,Strigiformes,Strigidae,Asio,flammeus,2875,Strigidae,Strigiformes,AVIBASE-8F123A11,5,2,2,1,4,27.3,13.7,9,13,42.5,297.2,141,156.2,47.5,146.5,322.6,Dunning,,NO,,,Grassland,3,3,Carnivore,Vertivore,Aerial,-55.05,74.25,49.62,11.33,39874062.36
SEWR,Sedge Wren,Passeriformes,Troglodytidae,Cistothorus,stellaris,8608,Troglodytidae,Passeriformes,AVIBASE-43D33E03,1,0,1,0,0,11.9,7.7,2.3,2.7,16,45,6.1,39.6,13.4,36,9,DataFromSplit,,YES,Beak Nares; Kipp's Distance; Secondary1; Hand-Wing Index,Cistothorus platensis,Grassland,3,2,Carnivore,Invertivore,Insessorial,37.7,55.64,45.92,-92.87,1872123
SOSP,Song Sparrow,Passeriformes,Passerellidae,Melospiza,melodia,10441,Passerellidae,Passeriformes,AVIBASE-A5F09E05,6,2,3,1,5,13.4,8.5,5.3,6.7,21.5,66.3,13.2,52.6,20.1,67.2,21.9,Dunning,,NO,,,Shrubland,2,2,Omnivore,Omnivore,Generalist,18.99,62.57,47.88,-103.48,10313728.38
SPTO,Spotted Towhee,Passeriformes,Passerellidae,Pipilo,maculatus,10358,Passerellidae,Passeriformes,AVIBASE-0B0BC750,13,5,8,0,13,17.4,10.3,6,8,28.4,85.8,11.8,74,13.7,99.4,39.3,Dunning,,NO,,,Forest,2,2,Omnivore,Omnivore,Generalist,14.26,54.19,41.83,-112.1,3630810.42
STFL,Scissor-tailed Flycatcher,Passeriformes,Tyrannidae,Tyrannus,forficatus,5738,Tyrannidae,Passeriformes,AVIBASE-6F65F82B,5,2,3,0,3,22.4,13.9,7.6,6,18.6,121.2,45.1,74.9,37.5,214,39.3,Dunning,,NO,,,Human Modified,2,3,Omnivore,Invertivore,Insessorial,24.1,40.59,33.46,-98.04,1445850.08
SUTA,Summer Tanager,Passeriformes,Cardinalidae,Piranga,rubra,10739,Cardinalidae,Passeriformes,AVIBASE-891798D9,57,25,29,3,10,19.2,13.3,8.4,9,19.5,92,27.9,67.4,29.2,71.3,29.1,Dunning,,NO,,,Forest,1,3,Carnivore,Invertivore,Insessorial,24.5,42.5,33.47,-93.77,3269576.69
TUTI,Tufted Titmouse,Passeriformes,Paridae,Baeolophus,bicolor,7196,Paridae,Passeriformes,AVIBASE-B488AB70,17,5,10,2,11,13.3,8.8,4.9,5.5,20.5,77.9,12.5,65.2,16.1,68.6,21.6,Dunning,,NO,,,Forest,1,1,Carnivore,Invertivore,Insessorial,25.84,45.77,36.97,-86.71,2969712.5
TUVU,Turkey Vulture,Cathartiformes,Cathartidae,Cathartes,aura,2953,Cathartidae,Cathartiformes,AVIBASE-36B3872D,6,0,2,4,4,51.5,27.6,14.3,17.2,54,508.5,135.6,369,26.9,244,1518.2,Dunning,,NO,,,Human Modified,3,2,Scavenger,Scavenger,Terrestrial,-55.72,54.31,6.76,-77.26,28126442.74
UPSA,Upland Sandpiper,Charadriiformes,Scolopacidae,Bartramia,longicauda,2446,Scolopacidae,Charadriiformes,AVIBASE-BF1DA86E,5,2,3,0,4,32.9,21.5,3.4,3.8,48.7,159,83.7,74.8,52.9,79.4,158.9,Dunning,,NO,,,Grassland,3,3,Carnivore,Invertivore,Terrestrial,35.81,69.33,49.36,-105.81,3282893.45
WAVI,Warbling Vireo,Passeriformes,Vireonidae,Vireo,gilvus,6399,Vireonidae,Passeriformes,AVIBASE-66AA469C,21,5,13,3,11,14.3,7.5,3.7,3.7,17.6,70.1,16.5,53.5,23.5,51.3,12.7,Dunning,,NO,,,Forest,1,3,Carnivore,Invertivore,Insessorial,16.11,66.86,45.21,-105.84,9680437.56
WEKI,Western Kingbird,Passeriformes,Tyrannidae,Tyrannus,verticalis,5733,Tyrannidae,Passeriformes,AVIBASE-2281F1C7,4,2,2,0,4,21.8,13.5,7.5,6.4,18.3,126.1,41.9,84.3,33.2,89.9,39.6,Dunning,,NO,,,Shrubland,3,3,Carnivore,Invertivore,Insessorial,26.05,53.7,40.94,-108.96,5067458.79
WITU,Wild Turkey,Galliformes,Phasianidae,Meleagris,gallopavo,350,Phasianidae,Galliformes,AVIBASE-9C5ED06A,5,2,3,0,4,48.6,25.9,17.6,15.3,149.2,448.8,115,332.5,26,351.2,5791.4,Dunning,,NO,,,Forest,2,1,Herbivore,Omnivore,Terrestrial,16.91,50.63,37.44,-98.2,7259958.92
YBCU,Yellow-billed Cuckoo,Cuculiformes,Cuculidae,Coccyzus,americanus,1653,Cuculidae,Cuculiformes,AVIBASE-0CF12F81,12,3,7,2,4,29.2,20,7,8.2,24.5,143.4,62.4,82.6,43,146.3,64,Dunning,,NO,,,Forest,1,3,Carnivore,Invertivore,Insessorial,-14.02,48.99,36.04,-90.96,5270361.03
YEWA,Yellow Warbler,Passeriformes,Parulidae,Setophaga,petechia,10612,Parulidae,Passeriformes,AVIBASE-A6C0C4A9,92,45,24,23,8,11.7,8,3.4,3.2,20,60.2,14.1,45.7,23.6,43.3,10.2,Dunning,,NO,,,Shrubland,1,3,Carnivore,Invertivore,Insessorial,-3.94,70.64,50.59,-108.69,15552185.22
