common_name,order,family,genus,species,rarity_on_landscape,rarity source,diet: plant,diet: vertebrate,diet: invertebrate,diet,diet source,litters_per_year,litter_size,litter freq & size citation,biomass (g),biomass source ,Notes,Home Range?
Elliot's Short-tailed Shrew,Eulipotyphla,Soricidae,Blarina,hylophaga,Common,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",30,30,40,Omnivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.5,6.5,"Schmidly, D. J. and Bradley, R. D. 2016. The Mammals of Texas, 7th Edition.",14.5,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
Hispid Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus,hispidus,Uncommon,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",90,0,10,Omnivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2,5.34,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",32,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
North American Least Shrew,Soricomorpha,Soricidae,Cryptotis,parva,Present,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",10,0,90,Omnivore,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.5,4.55,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",5,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
Prairie Vole,Rodentia,Cricetidae,Microtus,ochrogaster,Common,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,Herbivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",4.07,3.87,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",38,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
House Mouse,Rodentia,Muridae,Mus,musculus,Rare,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,Omnivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",4.5,5.54,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",16.1,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
Eastern Woodrat,Rodentia,Cricetidae,Neotoma,floridana,Common,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",90,0,10,Omnivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.5,3.11,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",244.7,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
White-footed Mouse,Rodentia,Cricetidae,Peromyscus,leucopus,Common,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",40,10,50,Omnivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",4.5,4.27,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",21.2,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
Deer Mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Common,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",40,10,50,Omnivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.6,4.76,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",21.3,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
Western Harvest Mouse,Rodentia,Cricetidae,Reithrodontomys,megalotis,Common,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,Granivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",4.5,4.18,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",9.4,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
Plains Harvest Mouse,Rodentia,Cricetidae,Reithrodontomys,montanus,Rare,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,Granivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",NA,3.94,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",10.9,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
Hispid Common Rat,Rodentia,Cricetidae,Sigmodon,hispidus,Local,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",50,0,50,Omnivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2,5.44,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",92.4,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
Thirteen-lined Ground Squirrel,Rodentia,Sciuridae,Spermophilus,tridecemlineatus,Common,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,Omnivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1,8.08,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",131.7,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",Genus is now Ictidomys,
Southern Bog Lemming,Rodentia,Cricetidae,Synaptomys,cooperi,Local,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,Omnivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.75,3.09,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",31.9,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
Meadow Jumping Mouse,Rodentia,Dipodidae,Zapus,hudsonius,Present,"(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,Omnivore,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2,5.36,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",17.1,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",,
